message_id,email_length,word_count,communication_time_category,body_tokenized,category
<25030227.1075855723877.JavaMail.evans@thyme>,470,82,Morning,reagan wanted give update changed unit mix include bedrooms reduced number buildings kipp flores working construction drawings time pursuing fha financing construction drawings complete send revised bid original bid competitive still attracted firm strong local presence contacts phillip,News & Media
<10924670.1075855723920.JavaMail.evans@thyme>,1330,210,Morning,ina rangel phillip allen hou ect ect subject survey phillip allen full name phillip allen login pallen extension office location type computer desktop laptop pda yes type none ipaq palm pilot jornada ipaq permission access anyone email calendar yes anyone permission access email calendar yes yes ina rangel responsible updating anyone else address book yes anyone else responsible updating address book yes access shared calendar yes shared calendar yes west calendar distribution groups messaging maintains mass mailings yes please list please list notes databases applications currently use none efforts plan exact date time migration also need know normal work hours office near future vacation leave etc,HR & Internal
<7770576.1075855723967.JavaMail.evans@thyme>,5224,480,Afternoon,outlook migration team enron allison horton enron enron amir baig enron enron brandon bangerter enron enron brian ellis corp enron enron charles philpott corp enron enron chris wood enron enron chris tull hou ect ect dale smith corp enron enron dave june enron enron donald sutton enron enron felicia buenrostro corp enron enron johnna morrison corp enron enron joe dorn corp enron enron kathryn schultea corp enron enron leon mcdowell enron enron leticia barrios corp enron enron milton brown corp enron enron raj perubhatla corp enron enron shekar komatireddy enron enron andrea yowman corp enron enron angie brian corp enron enron bonne castellano corp enron enron gwynn gorsuch enron enron ann matson corp enron enron laquitta washington corp enron enron rick johnson corp enron enron sandra lighthill corp enron enron valeria hope hou ect ect charlotte brown corp enron enron ronald fain corp enron enron gary fitch corp enron enron anna harris corp enron enron keith jones corp enron enron kristi monson enron enron bobbie mcniel corp enron enron john stabler corp enron enron michelle prince enron enron james gramke enron enron blair hicks enron enron jennifer johnson contractor enron communications enron communications jim little enron enronxgate dale lukert enron enron donald martin enron enron andrew mattei enron enron darvin mitchell enron enron mark oldham enron enron wesley pearson enron enron ramon pizarro natalie rau enron enron william redick enron enron mark richardson enron enron joseph schnieders enron enron gary simmons enron enron delaney trimble enron enron david upton enron enron mike boegler corp enron enron lyndel click corp enron enron gabriel franco enron enron randy gross corp enron enron arthur johnson corp enron enron danny jones corp enron enron john ogden houston eott eott edgar ponce enron enron tracy pursifull corp enron enron lance stanley corp enron enron frank ermis hou ect ect jane tholt hou ect ect jay reitmeyer hou ect ect keith holst hou ect ect matthew lenhart hou ect ect mike grigsby hou ect ect monique sanchez hou ect ect phillip allen hou ect ect randall gay hou ect ect tori kuykendall hou ect ect brenda fletcher hou ect ect jeanne wukasch corp enron enron mary theresa franklin hou ect ect mike potter enron enron natalie baker hou ect ect suzanne calcagno enron enron alvin thompson corp enron enron cynthia franklin corp enron enron jesse villarreal hou ect ect joan collins hou ees ees joe casas hou ect ect kelly loocke enron enronxgate lia halstead enron enron meredith homco hou ect ect robert allwein hou ect ect scott loving enron enron shanna boudreaux enron enronxgate steve gillespie corp enron enron tamara carter enron enron tracy wood enron enron gabriel fuzat enron communications enron communications jack netek enron communications enron communications lam nguyen enron enron camille gerard corp enron enron craig taylor hou ect ect jessica hangach nyc mgusa mgusa kathy gagel nyc mgusa mgusa lisa goulart nyc mgusa mgusa ruth balladares nyc mgusa mgusa sid strutt nyc mgusa mgusa subject survey information email current notes user ensure experience successful migration notes outlook necessary gather individual user information prior date migration please take minutes completely fill following survey finish simply click reply button hit send survey automatically sent outlook migration mailbox thank outlook migration team full name login extension office location type computer desktop laptop pda yes type none ipaq palm pilot jornada permission access anyone email calendar yes anyone permission access email calendar yes responsible updating anyone else address book yes anyone else responsible updating address book yes access shared calendar yes shared calendar distribution groups messaging maintains mass mailings yes please list please list notes databases applications currently use efforts plan exact date time migration also need know normal work hours office near future vacation leave etc,HR & Internal
<10586305.1075855378285.JavaMail.evans@thyme>,548,73,Night,jay reitmeyer stanley horton enron com dmccarty enron com subject california summary attached final version california summary report maps graphs historical data phillip allen hou ect ect bcc subject additional california load information additional charts attempting explain increase demand hydro load growth temperature many assumptions made data solid numbers first set graphs,News & Media
<18435268.1075855378308.JavaMail.evans@thyme>,2059,288,Evening,guys coordinate make sure someone listens conference call week tara fundamental group recording calls happened every day phillip james steffes enron phillip allen hou ect ect subject western wholesale activities gas power conf call privileged confidential communication attorney client communication attorney work product privileges asserted please forward anyone team wants updates western wholesale matters also give opportunity raise state matters want discuss jim ray alvarez steve walton hou ect ect susan mara enron enron alan comnes pdx ect ect leslie lawner enron enron rebecca cantrell hou ect ect donna fulton corp enron enron jeff dasovich enron enron christi nicolay hou ect ect james steffes enron enron jalexander gibbs bruns com phillip allen hou ect ect linda noske hou ect ect subject western wholesale activities gas power conf call privileged confidential communication attorney client communication attorney work product privileges asserted date every thursday time pacific central eastern time number host code jim participant code everyone else attached table going ferc issues proceedings updated use tomorrow conference call available team members drive please feel free revise add update table appropriate proposed agenda tomorrow power discussion ferc market monitoring mitigation order review upcoming filings gas response subpoenas socal edison upcoming items misc unable participate call tomorrow attending senate energy resource committee hearing elements ferc market monitoring mitigation order,Legal & Regulatory
<16509612.1075855378434.JavaMail.evans@thyme>,1872,258,Night,james steffes enron phillip allen hou ect ect subject western wholesale activities gas power conf call privileged confidential communication attorney client communication attorney work product privileges asserted please forward anyone team wants updates western wholesale matters also give opportunity raise state matters want discuss jim ray alvarez steve walton hou ect ect susan mara enron enron alan comnes pdx ect ect leslie lawner enron enron rebecca cantrell hou ect ect donna fulton corp enron enron jeff dasovich enron enron christi nicolay hou ect ect james steffes enron enron jalexander gibbs bruns com phillip allen hou ect ect linda noske hou ect ect subject western wholesale activities gas power conf call privileged confidential communication attorney client communication attorney work product privileges asserted date every thursday time pacific central eastern time number host code jim participant code everyone else attached table going ferc issues proceedings updated use tomorrow conference call available team members drive please feel free revise add update table appropriate proposed agenda tomorrow power discussion ferc market monitoring mitigation order review upcoming filings gas response subpoenas socal edison upcoming items misc unable participate call tomorrow attending senate energy resource committee hearing elements ferc market monitoring mitigation order,Legal & Regulatory
<1670364.1075855671043.JavaMail.evans@thyme>,332,62,Afternoon,mary add balances together total spread months month payout would month month payout would month choice would like could work hrs friday another month sound fair apply loan phillip,HR & Internal
<24736945.1075855671153.JavaMail.evans@thyme>,2083,245,Morning,capacitycenter com marketing capacitycenter com mailman enron com subject gas transportation market intelligence image natural gas transporation contract information pipeline notices delivered desktop http www capacitycenter com image image image image image image image image image image register sign free trial end may bid week capacity shopper learn capacity release posted bid pick transport good price explore releases affect gas prices daily activity reports check deals done competitors pick deals match offers better market intelligence system notices system notices delivered desk last one learn ofo busy something else image capacity shopper daily activity reports improved formats choose pipelines want keep posted via email details check example daily activity report coming soon statistical snapshot capacity release miss member opportunity see quick snapshot activity interstate gas pipelines message sent select group industry professionals wish receive future notices please reply mail remove subject line copyright capacitycenter com inc rights reserved,Legal & Regulatory
<11144839.1075855671195.JavaMail.evans@thyme>,831,128,Morning,jeffrey shankman phillip allen hou ect ect keith holst hou ect ect mike grigsby hou ect ect subject large deal alert bruce sukaly enron john arnold hou ect ect mike maggi corp enron enron jeffrey shankman hou ect ect subject large deal alert make long story short williams long tolling socal years know deal tuesday afternoon williams sold merrill lynch remaining life years merrill short fixed price gas cal border day long power day heat rate socal border plus sure mrl brokered deal warehousing worth,Energy Trading
<9385129.1075855693206.JavaMail.evans@thyme>,1169,182,Evening,allen phillip selected participate mid year performance management process feedback plays important role process participation critical success enron performance management goals complete request feedback access pep http pep enron com select complete feedback main menu may begin providing feedback immediately requested feedback forms completed friday may questions regarding pep responsibility process please contact pep help desk houston option email perfmgmt enron com london option email pep enquiries enron com thank participation important process following cumulative list employee feedback requests status open submitted declined employee request feedback name longer appear list note receive message time selected reviewer employee name giron darron shim yeun sung,Energy Trading
<30046957.1075855693228.JavaMail.evans@thyme>,2918,363,Evening,cannot read email please click earnings com pmcs upgrade downgrade history earnings com image image view today upgrades downgrades coverage initiated briefing pmc sierra inc pmcs date brokerage firm action details freidman billings coverage initiated accumulate merrill lynch downgraded neutral accum robertson stephens upgraded buy attractive morgan upgraded buy mkt perform frost securities upgraded strong buy buy goldman sachs upgraded trading buy mkt outperform salomon smith barney upgraded buy outperform morgan downgraded mkt perform buy robertson stephens downgraded attractive buy frost securities coverage initiated buy needham company coverage initiated hold salomon smith barney downgraded outperform buy banc america downgraded buy strong buy csfb downgraded hold buy soundview upgraded strong buy buy warburg dillon reed downgraded hold strong buy cowen downgraded neutral buy morgan downgraded buy buy robertson stephens downgraded buy strong buy adams harkness downgraded mkt perform buy banc america downgraded buy strong buy bear stearns downgraded attractive buy csfb downgraded buy strong buy goldman sachs downgraded mkt outperform recomm list lehman brothers downgraded neutral outperform kaufman bros downgraded hold buy merrill lynch downgraded accum buy soundview downgraded buy strong buy lehman brothers downgraded outperform buy morgan coverage initiated buy paine webber upgraded buy attractive william blair coverage initiated buy cowen upgraded buy neutral briefing com leading internet provider live market analysis stock bond world market participants earnings com inc rights reserved contact webmaster site map privacy policy terms service,Energy Trading
<5010711.1075855693251.JavaMail.evans@thyme>,2486,356,Afternoon,dear nytimes com member registration nytimes com included permission send occasional mail special offers advertisers unsubscribe future mailings visit http www nytimes com unsubscribe special offer nextcard visa congratulations pre selected nextcard visa offer rates low intro ongoing apr nextcard visa best credit card find period credit card company tailor offer specifically apr low intro ongoing transfer balances one click start saving money right get nextcard visa seconds getting credit card never easy fill brief application receive approval decision within seconds pay annual fees rates low intro ongoing apr click apply http www nytimes com ads email nextcard beforenonaola html waste time credit companies nextcard offers safe online shopping click bill payment hour online account management wait apply get approval decisions seconds less choice clear current cardholders individuals applied within past days eligible take advantage offer nextcard takes privacy seriously order protect personal privacy share personal information outside parties may result receiving offer even current nextcard holder recent applicant although may inconvenience result belief privacy utmost importance may view additional details privacy policy following url http www nextcard com privacy shtml mail registration nytimes com included permission send occasional mail special offers advertisers member bbbonline privacy program truste privacy program committed protecting privacy unsubscribe future mailings visit http www nytimes com unsubscribe suggestions feedback welcome comments nytimes com please reply directly mail,HR & Internal
<7510478.1075855693794.JavaMail.evans@thyme>,545,103,Morning,let know get quotes pauline expecting pay something range would like see quotes description work done understanding rock removed replaced siding getting quotes put new rock need clarify jacques ready drop dollar amount release negotiations stall seems like need ahead cut utilities hopefully things smoothly phillip,News & Media
<30386365.1075855693824.JavaMail.evans@thyme>,1693,271,Afternoon,due problems email yesterday may received rsvp please excuse confusion may caused rsvp requested environmental strategies group convene emissions strategy meeting friday may discuss global emissions issues air quality regulation climate change multipollutant legislation explore potential business opportunities enron commercial groups friday may time lunch provided enron building floor video conference organized enable broad participation london office teleconference set others would like call primary objectives session provide latest information emissions regulation markets enron advocacy efforts worldwide receive feedback commercial interests input policy options may develop best business policy strategies enron short long term invite member group participate important strategic discussion please rsvp soon possible let know plan participate person via teleconference via video conference london office agenda forthcoming questions suggestions advance meeting please hesitate contact jeff keeler look forward participation lisa jacobson enron manager environmental strategies eye street suite washington phone fax,HR & Internal
<24352905.1075855693889.JavaMail.evans@thyme>,547,73,Afternoon,jay reitmeyer stanley horton enron com dmccarty enron com subject california summary attached final version california summary report maps graphs historical data phillip allen hou ect ect bcc subject additional california load information additional charts attempting explain increase demand hydro load growth temperature many assumptions made data solid numbers first set graphs,News & Media
<2313514.1075855693911.JavaMail.evans@thyme>,2074,288,Morning,guys coordinate make sure someone listens conference call week tara fundamental group recording calls happened every day phillip james steffes enron phillip allen hou ect ect subject western wholesale activities gas power conf call privileged confidential communication attorney client communication attorney work product privileges asserted please forward anyone team wants updates western wholesale matters also give opportunity raise state matters want discuss jim ray alvarez steve walton hou ect ect susan mara enron enron alan comnes pdx ect ect leslie lawner enron enron rebecca cantrell hou ect ect donna fulton corp enron enron jeff dasovich enron enron christi nicolay hou ect ect james steffes enron enron jalexander gibbs bruns com phillip allen hou ect ect linda noske hou ect ect subject western wholesale activities gas power conf call privileged confidential communication attorney client communication attorney work product privileges asserted date every thursday time pacific central eastern time number host code jim participant code everyone else attached table going ferc issues proceedings updated use tomorrow conference call available team members drive please feel free revise add update table appropriate proposed agenda tomorrow power discussion ferc market monitoring mitigation order review upcoming filings gas response subpoenas socal edison upcoming items misc unable participate call tomorrow attending senate energy resource committee hearing elements ferc market monitoring mitigation order,Legal & Regulatory
<25550120.1075855693958.JavaMail.evans@thyme>,1885,258,Afternoon,james steffes enron phillip allen hou ect ect subject western wholesale activities gas power conf call privileged confidential communication attorney client communication attorney work product privileges asserted please forward anyone team wants updates western wholesale matters also give opportunity raise state matters want discuss jim ray alvarez steve walton hou ect ect susan mara enron enron alan comnes pdx ect ect leslie lawner enron enron rebecca cantrell hou ect ect donna fulton corp enron enron jeff dasovich enron enron christi nicolay hou ect ect james steffes enron enron jalexander gibbs bruns com phillip allen hou ect ect linda noske hou ect ect subject western wholesale activities gas power conf call privileged confidential communication attorney client communication attorney work product privileges asserted date every thursday time pacific central eastern time number host code jim participant code everyone else attached table going ferc issues proceedings updated use tomorrow conference call available team members drive please feel free revise add update table appropriate proposed agenda tomorrow power discussion ferc market monitoring mitigation order review upcoming filings gas response subpoenas socal edison upcoming items misc unable participate call tomorrow attending senate energy resource committee hearing elements ferc market monitoring mitigation order,Legal & Regulatory
<10184994.1075855694024.JavaMail.evans@thyme>,470,82,Morning,reagan wanted give update changed unit mix include bedrooms reduced number buildings kipp flores working construction drawings time pursuing fha financing construction drawings complete send revised bid original bid competitive still attracted firm strong local presence contacts phillip,News & Media
<21927077.1075855694068.JavaMail.evans@thyme>,1330,210,Morning,ina rangel phillip allen hou ect ect subject survey phillip allen full name phillip allen login pallen extension office location type computer desktop laptop pda yes type none ipaq palm pilot jornada ipaq permission access anyone email calendar yes anyone permission access email calendar yes yes ina rangel responsible updating anyone else address book yes anyone else responsible updating address book yes access shared calendar yes shared calendar yes west calendar distribution groups messaging maintains mass mailings yes please list please list notes databases applications currently use none efforts plan exact date time migration also need know normal work hours office near future vacation leave etc,HR & Internal
<227662.1075855694115.JavaMail.evans@thyme>,5224,480,Afternoon,outlook migration team enron allison horton enron enron amir baig enron enron brandon bangerter enron enron brian ellis corp enron enron charles philpott corp enron enron chris wood enron enron chris tull hou ect ect dale smith corp enron enron dave june enron enron donald sutton enron enron felicia buenrostro corp enron enron johnna morrison corp enron enron joe dorn corp enron enron kathryn schultea corp enron enron leon mcdowell enron enron leticia barrios corp enron enron milton brown corp enron enron raj perubhatla corp enron enron shekar komatireddy enron enron andrea yowman corp enron enron angie brian corp enron enron bonne castellano corp enron enron gwynn gorsuch enron enron ann matson corp enron enron laquitta washington corp enron enron rick johnson corp enron enron sandra lighthill corp enron enron valeria hope hou ect ect charlotte brown corp enron enron ronald fain corp enron enron gary fitch corp enron enron anna harris corp enron enron keith jones corp enron enron kristi monson enron enron bobbie mcniel corp enron enron john stabler corp enron enron michelle prince enron enron james gramke enron enron blair hicks enron enron jennifer johnson contractor enron communications enron communications jim little enron enronxgate dale lukert enron enron donald martin enron enron andrew mattei enron enron darvin mitchell enron enron mark oldham enron enron wesley pearson enron enron ramon pizarro natalie rau enron enron william redick enron enron mark richardson enron enron joseph schnieders enron enron gary simmons enron enron delaney trimble enron enron david upton enron enron mike boegler corp enron enron lyndel click corp enron enron gabriel franco enron enron randy gross corp enron enron arthur johnson corp enron enron danny jones corp enron enron john ogden houston eott eott edgar ponce enron enron tracy pursifull corp enron enron lance stanley corp enron enron frank ermis hou ect ect jane tholt hou ect ect jay reitmeyer hou ect ect keith holst hou ect ect matthew lenhart hou ect ect mike grigsby hou ect ect monique sanchez hou ect ect phillip allen hou ect ect randall gay hou ect ect tori kuykendall hou ect ect brenda fletcher hou ect ect jeanne wukasch corp enron enron mary theresa franklin hou ect ect mike potter enron enron natalie baker hou ect ect suzanne calcagno enron enron alvin thompson corp enron enron cynthia franklin corp enron enron jesse villarreal hou ect ect joan collins hou ees ees joe casas hou ect ect kelly loocke enron enronxgate lia halstead enron enron meredith homco hou ect ect robert allwein hou ect ect scott loving enron enron shanna boudreaux enron enronxgate steve gillespie corp enron enron tamara carter enron enron tracy wood enron enron gabriel fuzat enron communications enron communications jack netek enron communications enron communications lam nguyen enron enron camille gerard corp enron enron craig taylor hou ect ect jessica hangach nyc mgusa mgusa kathy gagel nyc mgusa mgusa lisa goulart nyc mgusa mgusa ruth balladares nyc mgusa mgusa sid strutt nyc mgusa mgusa subject survey information email current notes user ensure experience successful migration notes outlook necessary gather individual user information prior date migration please take minutes completely fill following survey finish simply click reply button hit send survey automatically sent outlook migration mailbox thank outlook migration team full name login extension office location type computer desktop laptop pda yes type none ipaq palm pilot jornada permission access anyone email calendar yes anyone permission access email calendar yes responsible updating anyone else address book yes anyone else responsible updating address book yes access shared calendar yes shared calendar distribution groups messaging maintains mass mailings yes please list please list notes databases applications currently use efforts plan exact date time migration also need know normal work hours office near future vacation leave etc,HR & Internal
<28406881.1075855674405.JavaMail.evans@thyme>,831,128,Morning,jeffrey shankman phillip allen hou ect ect keith holst hou ect ect mike grigsby hou ect ect subject large deal alert bruce sukaly enron john arnold hou ect ect mike maggi corp enron enron jeffrey shankman hou ect ect subject large deal alert make long story short williams long tolling socal years know deal tuesday afternoon williams sold merrill lynch remaining life years merrill short fixed price gas cal border day long power day heat rate socal border plus sure mrl brokered deal warehousing worth,Energy Trading
<22004349.1075855674427.JavaMail.evans@thyme>,2083,245,Morning,capacitycenter com marketing capacitycenter com mailman enron com subject gas transportation market intelligence image natural gas transporation contract information pipeline notices delivered desktop http www capacitycenter com image image image image image image image image image image register sign free trial end may bid week capacity shopper learn capacity release posted bid pick transport good price explore releases affect gas prices daily activity reports check deals done competitors pick deals match offers better market intelligence system notices system notices delivered desk last one learn ofo busy something else image capacity shopper daily activity reports improved formats choose pipelines want keep posted via email details check example daily activity report coming soon statistical snapshot capacity release miss member opportunity see quick snapshot activity interstate gas pipelines message sent select group industry professionals wish receive future notices please reply mail remove subject line copyright capacitycenter com inc rights reserved,Legal & Regulatory
<18078005.1075855711525.JavaMail.evans@thyme>,5224,480,Afternoon,outlook migration team enron allison horton enron enron amir baig enron enron brandon bangerter enron enron brian ellis corp enron enron charles philpott corp enron enron chris wood enron enron chris tull hou ect ect dale smith corp enron enron dave june enron enron donald sutton enron enron felicia buenrostro corp enron enron johnna morrison corp enron enron joe dorn corp enron enron kathryn schultea corp enron enron leon mcdowell enron enron leticia barrios corp enron enron milton brown corp enron enron raj perubhatla corp enron enron shekar komatireddy enron enron andrea yowman corp enron enron angie brian corp enron enron bonne castellano corp enron enron gwynn gorsuch enron enron ann matson corp enron enron laquitta washington corp enron enron rick johnson corp enron enron sandra lighthill corp enron enron valeria hope hou ect ect charlotte brown corp enron enron ronald fain corp enron enron gary fitch corp enron enron anna harris corp enron enron keith jones corp enron enron kristi monson enron enron bobbie mcniel corp enron enron john stabler corp enron enron michelle prince enron enron james gramke enron enron blair hicks enron enron jennifer johnson contractor enron communications enron communications jim little enron enronxgate dale lukert enron enron donald martin enron enron andrew mattei enron enron darvin mitchell enron enron mark oldham enron enron wesley pearson enron enron ramon pizarro natalie rau enron enron william redick enron enron mark richardson enron enron joseph schnieders enron enron gary simmons enron enron delaney trimble enron enron david upton enron enron mike boegler corp enron enron lyndel click corp enron enron gabriel franco enron enron randy gross corp enron enron arthur johnson corp enron enron danny jones corp enron enron john ogden houston eott eott edgar ponce enron enron tracy pursifull corp enron enron lance stanley corp enron enron frank ermis hou ect ect jane tholt hou ect ect jay reitmeyer hou ect ect keith holst hou ect ect matthew lenhart hou ect ect mike grigsby hou ect ect monique sanchez hou ect ect phillip allen hou ect ect randall gay hou ect ect tori kuykendall hou ect ect brenda fletcher hou ect ect jeanne wukasch corp enron enron mary theresa franklin hou ect ect mike potter enron enron natalie baker hou ect ect suzanne calcagno enron enron alvin thompson corp enron enron cynthia franklin corp enron enron jesse villarreal hou ect ect joan collins hou ees ees joe casas hou ect ect kelly loocke enron enronxgate lia halstead enron enron meredith homco hou ect ect robert allwein hou ect ect scott loving enron enron shanna boudreaux enron enronxgate steve gillespie corp enron enron tamara carter enron enron tracy wood enron enron gabriel fuzat enron communications enron communications jack netek enron communications enron communications lam nguyen enron enron camille gerard corp enron enron craig taylor hou ect ect jessica hangach nyc mgusa mgusa kathy gagel nyc mgusa mgusa lisa goulart nyc mgusa mgusa ruth balladares nyc mgusa mgusa sid strutt nyc mgusa mgusa subject survey information email current notes user ensure experience successful migration notes outlook necessary gather individual user information prior date migration please take minutes completely fill following survey finish simply click reply button hit send survey automatically sent outlook migration mailbox thank outlook migration team full name login extension office location type computer desktop laptop pda yes type none ipaq palm pilot jornada permission access anyone email calendar yes anyone permission access email calendar yes responsible updating anyone else address book yes anyone else responsible updating address book yes access shared calendar yes shared calendar distribution groups messaging maintains mass mailings yes please list please list notes databases applications currently use efforts plan exact date time migration also need know normal work hours office near future vacation leave etc,HR & Internal
<5673528.1075855711571.JavaMail.evans@thyme>,1330,210,Morning,ina rangel phillip allen hou ect ect subject survey phillip allen full name phillip allen login pallen extension office location type computer desktop laptop pda yes type none ipaq palm pilot jornada ipaq permission access anyone email calendar yes anyone permission access email calendar yes yes ina rangel responsible updating anyone else address book yes anyone else responsible updating address book yes access shared calendar yes shared calendar yes west calendar distribution groups messaging maintains mass mailings yes please list please list notes databases applications currently use none efforts plan exact date time migration also need know normal work hours office near future vacation leave etc,HR & Internal
<11592223.1075855711614.JavaMail.evans@thyme>,470,82,Morning,reagan wanted give update changed unit mix include bedrooms reduced number buildings kipp flores working construction drawings time pursuing fha financing construction drawings complete send revised bid original bid competitive still attracted firm strong local presence contacts phillip,News & Media
<15291531.1075855711659.JavaMail.evans@thyme>,1885,258,Afternoon,james steffes enron phillip allen hou ect ect subject western wholesale activities gas power conf call privileged confidential communication attorney client communication attorney work product privileges asserted please forward anyone team wants updates western wholesale matters also give opportunity raise state matters want discuss jim ray alvarez steve walton hou ect ect susan mara enron enron alan comnes pdx ect ect leslie lawner enron enron rebecca cantrell hou ect ect donna fulton corp enron enron jeff dasovich enron enron christi nicolay hou ect ect james steffes enron enron jalexander gibbs bruns com phillip allen hou ect ect linda noske hou ect ect subject western wholesale activities gas power conf call privileged confidential communication attorney client communication attorney work product privileges asserted date every thursday time pacific central eastern time number host code jim participant code everyone else attached table going ferc issues proceedings updated use tomorrow conference call available team members drive please feel free revise add update table appropriate proposed agenda tomorrow power discussion ferc market monitoring mitigation order review upcoming filings gas response subpoenas socal edison upcoming items misc unable participate call tomorrow attending senate energy resource committee hearing elements ferc market monitoring mitigation order,Legal & Regulatory
